"item_id","date_block_num","mean_product_price"
"20949","0","4.914855697006738"
"20949","1","4.914855697006738"
"20949","2","4.914855697006738"
"20949","3","4.8966346153846665"
"20949","4","4.858797033659985"
"20949","5","4.8888397616863015"
"20949","6","4.8928399075918305"
"20949","7","4.892865563555216"
"20949","8","4.866724320623896"
"20949","9","4.871043688326586"
"20949","10","4.879745663043352"
"20949","11","4.873346246376173"
"20949","12","4.875308030121561"
"20949","13","4.8882652953821735"
"20949","14","4.875209772583559"
"20949","15","4.886722665104886"
"20949","16","4.873314476356256"
"20949","17","4.892326331897921"
"20949","18","4.891860757900041"
"20949","19","4.922032029519944"
"20949","20","4.92622092484477"
"20949","21","4.9270663923317395"
"20949","22","4.935458326685278"
"20949","23","4.938532731991664"
"20949","24","4.96355078594071"
"20949","25","4.9554027006034636"
"20949","26","4.958757471095447"
"20949","27","4.972729543637817"
"20949","28","4.985358413828162"
"20949","29","4.981077184054287"
"20949","30","4.976652439024391"
"20949","31","4.9677238469441"
"20949","32","4.967567121024374"
"20949","33","4.994596225587016"
"2808","0","981.2212434383189"
"2808","1","979.3129464285714"
"2808","2","988.588183421516"
"2808","3","986.404356060606"
"2808","4","990.2949658703071"
"2808","5","919.1817727261331"
"2808","6","984.4254406130275"
"2808","7","990.4218683651783"
"2808","8","990.8004866180048"
"2808","9","990.4436929578252"
"2808","10","990.3538461538461"
"2808","11","989.895084269663"
"2808","12","995.7801647655248"
"2808","13","988.2116847826088"
"2808","14","992.1582159624413"
"2808","15","987.1996855345903"
"2808","16","991.6435569755048"
"2808","17","803.2058680449967"
"2808","18","992.5211594202914"
"2808","19","992.0207031250001"
"2808","20","986.1538812785388"
"2808","21","984.8381746031737"
"2808","22","985.615923566879"
"2808","23","989.0827896995709"
"2808","24","989.2295089285715"
"2808","25","980.7921568627452"
"2808","26","982.8146341463415"
"2808","27","1311.8072619047618"
"2808","28","1480.4192307692308"
"2808","29","1489.9761538461537"
"2808","30","1490.563829787234"
"2808","31","1483.8094117647058"
"2808","32","1477.25"
"2808","33","1499.0"
"3732","0","2712.7488789568242"
"3732","1","2712.7488789568242"
"3732","2","2712.7488789568242"
"3732","3","2712.7488789568242"
"3732","4","2712.7488789568242"
"3732","5","2712.7488789568242"
"3732","6","2712.7488789568242"
"3732","7","2712.7488789568242"
"3732","8","2537.666167930679"
"3732","9","2572.5299367265316"
"3732","10","2580.5901060070673"
"3732","11","2576.0911964831953"
"3732","12","2581.1279120198137"
"3732","13","2592.3424242424144"
"3732","14","2588.240064102564"
"3732","15","2590.204435483871"
"3732","16","2577.2019572953736"
"3732","17","2585.82679245283"
"3732","18","2572.708047619047"
"3732","19","2579.47009569378"
"3732","20","2619.9411764705883"
"3732","21","2775.3132608695655"
"3732","22","2970.9371875"
"3732","23","3365.311947368421"
"3732","24","3357.846587301587"
"3732","25","3388.6666666666665"
"3732","26","3386.558387096774"
"3732","27","3389.7796610169494"
"3732","28","3385.6048529411764"
"3732","29","3388.452205882353"
"3732","30","3383.9697647058824"
"3732","31","3393.1344086021504"
"3732","32","3375.2643939393943"
"3732","33","3399.0"
"17717","0","484.8763440860215"
"17717","1","809.9756944444792"
"17717","2","855.8847552540559"
"17717","3","829.4367088607595"
"17717","4","417.7846180555625"
"17717","5","349.27927927929727"
"17717","6","378.3995"
"17717","7","340.1753985507391"
"17717","8","520.8981300812926"
"17717","9","643.0208333333334"
"17717","10","784.2571428571429"
"17717","11","579.0970149253732"
"17717","12","589.804347826087"
"17717","13","679.7544217687082"
"17717","14","776.3283582089553"
"17717","15","745.8394636015631"
"17717","16","823.9959016393689"
"17717","17","797.2686965811922"
"17717","18","1076.5711538461667"
"17717","19","992.9611301586996"
"17717","20","1051.0022852039083"
"17717","21","973.0726825658679"
"17717","22","1203.2728899559077"
"17717","23","1313.1461502958855"
"17717","24","1089.9138264205258"
"17717","25","1135.7491929730638"
"17717","26","1328.4300565574965"
"17717","27","1404.7112623674398"
"17717","28","1159.9873245614158"
"17717","29","1080.4606995885092"
"17717","30","1066.9862151777002"
"17717","31","1195.969584785116"
"17717","32","1202.1945054945288"
"17717","33","1161.032212885098"
"5822","0","986.4793609671866"
"5822","1","1036.8128491620112"
"5822","2","1040.2617363344052"
"5822","3","1044.9994720965294"
"5822","4","1040.6021097046414"
"5822","5","1045.5423611111112"
"5822","6","1043.837046204604"
"5822","7","1043.912979351031"
"5822","8","1046.180693069307"
"5822","9","1041.9583333333333"
"5822","10","1047.245283018868"
"5822","11","1045.3731356693531"
"5822","12","1046.7977979274613"
"5822","13","1047.2267857142858"
"5822","14","1043.1589743589743"
"5822","15","1046.4561403508771"
